,offer_id,price,seller_id,category_id,vendor
0,1724200,120.0,0,40016,Попурри
1,3934000,146.0,0,33927,
2,4016600,146.0,0,16551,Попурри
3,4656850,216.0,0,40012,
4,5010350,265.0,0,40021,Попурри
5,5650500,876.0,0,150113000,Аквафор
6,18934150,265.0,0,40035,
7,20907150,1817.0,0,7112,Полесье
8,22345250,235.0,0,16500000,Азбука
9,22351600,559.0,0,35410,Издательствоиностранка
10,25630050,530.0,0,35410,Эксмо
11,26295750,1215.0,0,40021,Попурри
12,28784850,436.0,0,656160000,Librederm
13,31170700,225.0,0,35410,АСТ
14,31279250,211.0,0,40027,
15,32926100,463.0,0,40021,Эксмо
16,34077600,233.0,0,40035,
17,135115350,1611.0,0,35410,Азбука
18,135817000,616.0,0,32618,
19,136813750,1055.0,0,13846,Lo Scarabeo
20,137324250,197.0,0,40046,Machaon
21,138345300,1494.0,563,17112,Marhatter
22,138517750,382.0,0,40021,
23,139588650,2559.0,0,60003000,ACUVUE
24,140163050,116.0,0,6346000,Celesta
